reference	agee	note	rules
E.1.32	-r > C / [+alveolar] _	According to Noreen (1923) § 277, /t/ and /d/ are excluded.	CLL: r > [+long] / [+alveolar, !t, !d] _ #
E.1.33	*w > v		basic: w > v
E.1.34	ðt > tt		CLR: ð > tː / _ t
E.1.35	∅ > t		UR-E
E.1.36	berið	Treated as out-of-scope since it is related to E.1.26.	MISC
E.1.37	*ī	Similar to B.1.13.	basic: j > ∅ / @ i _ i @; CLR: i > iː / _ i; CLR: j > iː / @ _ i @
E.1.38	*hnut > hnot	Treated as out-of-scope since it affects root nouns, which suggests it might not be purely phonological.	NP
E.1.39		We add this rule for two reasons: 1) Through empirical experimentation, apocope of /n/ significantly increases the coverage of edit distance; 2) This might correspond to the rule mentioned in Noreen (1923) § 299, #5.	basic: n > ∅ / _ #
G.1.1	*[awʲwʲ] > *[auj]		UR-E
G.1.2	*w > ∅ / _ i	Not word-initial, and /i/ should be unstressed.	basic: w > ∅ / @ _ i{-}
G.1.3	*a > *æ	/a/ must be stressed.	basic: a{+} > æ
G.1.4	*ai > ā		basic: ai > aː
G.1.5	ā > o / [-stress]		basic: ai{-} > o
G.1.6	*au > ēa		basic: au > æːa
G.1.7	[+front] > V₁V₂	Occurs before /x/, or RC (sonorant + consonant except for /j/), /e/ and /i/ breaking before /w/ and /l-w/ also.	basic: æ > æa / _ x; basic: e > eo / _ x; basic: i > iu / _ x; basic: iː > iːu / _ x; basic: æ > æa / _ [+sonorant] [-syllabic, !j]; basic: e > eo / _ [+sonorant] [-syllabic, !j]; basic: i > iu / _ [+sonorant] [-syllabic, !j]; basic: iː > iːo / _ [+sonorant] [-syllabic, !j]; basic: e > eo / _ w; basic: i > iu / _ w; basic: e > eo / _ l w; basic: i > iu / _ l w
G.1.8	*hs > x	Grapheme <x> is /ks/.	basic: x > k / _ s
G.1.9	*k, *g > [+palatal]	We used /d͡ʒ/ instead of /dd͡ʒ/ for the affricate since it is what the transcriber produces, and it is easier to write down using our template.	basic: k > t͡ʃ / i _; basic: k > t͡ʃ / iː _; basic: k > t͡ʃ / _ [+syllabic, +front]; basic: k > t͡ʃ / _ æa; basic: g > j / [+syllabic, +front] _; basic: g > j / æa _; basic: g > j / _ [+syllabic, +front]; basic: g > j / _ æa; basic: gː > d͡ʒ / [+syllabic, +front] _; basic: gː > d͡ʒ / æa _; basic: gː > d͡ʒ / _ [+syllabic, +front]; basic: gː > d͡ʒ / _ æa
G.1.10	*-kw- > -k-	Not word-initial.	basic: w > ∅ / @ k _ @
G.1.11	i-umlaut	"Back vowels in stressed position became fronted following a high vowel or palatalized geminate. In addition, *æ became raised to e in these environments." Since /z-j/ and /r-j/ did not  become geminated (see C.1.8), we need to exclude those. We consulted Ringe and Taylor (2014), section 6.6 to get the major changes.	VS: uː{+} > yː / _ [+high, +syllabic]; VS: u{+} > y / _ [+high, +syllabic]; VS: oː{+} > øː / _ [+high, +syllabic]; VS: o{+} > ø / _ [+high, +syllabic]; VS: æ{+} > e / _ [+high, +syllabic]; basic: uː{+} > y / _ [-syllabic, +long, !jː, !zː]; basic: u{+} > y / _ [-syllabic, +long, !jː, !zː]; basic: oː{+} > øː / _ [-syllabic, +long, !jː, !zː]; basic: o{+} > ø / _ [-syllabic, +long, !jː, !zː]; basic: æ{+} > e / _ [-syllabic, +long, !jː, !zː]
G.1.12	/f, þ, s/ > [v, ð, z] / [+stress]σ _	Unrepresentable since we need to use VS-type, but the affected sounds are all consonants.	UR-NAC
G.1.13	V > ∅ / C_C	According to Ringe and Taylor (2014) 6.7.3, V must be /æ/, /e/, /i/, and /u/ and be unstressed after a stressed vowel. /i/ and /u/ additionally require that the previous syllable be heavy, which we ignore in this study.	basic: æ{-} > ∅ / [+syllabic]{+} [-syllabic] _ [-syllabic]; basic: e{-} > ∅ / [+syllabic]{+} [-syllabic] _ [-syllabic]; basic: i{-} > ∅ / [+syllabic]{+} [-syllabic] _ [-syllabic]; basic: u{-} >  ∅ / [+syllabic]{+} [-syllabic] _ [-syllabic]
G.1.14	*i, *u > ∅ / _#	Word-final and "after heavy syllables and after unstressed syllables preceded by a stressed light syllable". Treated as unrepresentable, since word-final positions require # in the normal sequence, while the syllable requirement needs the vowel sequence.	UR-O
G.1.15	*þs > *ss		CLR: θ > sː / _ s
G.1.16	*b > f / _ #		basic: ꞵ > f / _ #
G.1.17	*h > ∅		basic: x > ∅ / [+voice] _ [+voice]
G.1.18	*æ > a / _ C₁ [+back]	/æ/ should be stressed.	VS: æ{+} > a / _ [+back, +syllabic]
G.1.19	i > io; e > eo; æ > ea / _ C [+back]	Treated as VS-type rules since they are referred to as "back umlaut".	VS: i > iu / _ [-syllabic] [+syllabic, +back]; VS: e >eo / _ [-syllabic] [+syllabic, +back]; VS: æ > æa / _ [-syllabic] [+syllabic, +back]
G.1.20	CR# > CVR#		UR-E
G.1.21	æ, i > e	Must be unstressed.	basic: æ{-} > e; basic: i{-} > e
G.1.22	*-azd- > *-ezd-	We treat this as IRG since the footnote suggests "this is a complicated sound change with many difficulties".	IRG
G.1.23	*C(l/r) > *CC(l/r)	This has already been covered by C.1.9.	DUP
G.1.24	*i > ∅ / CV.C _ l	The farthest C is ignored due to template constraints. The syllable must be light; therefore, V must be short.	basic: i > ∅ / [+syllabic, -long] [-syllabic] _ l
G.1.25	V̄ > V / _CC(C)	Only the geminate situation is kept since three consonants are out-of-scope for this study.	basic: [+syllabic, +long] > [-long] / _ [-syllabic, +long]
G.1.26	a = u	Unstressed /a/ and /u/ became [ɘ]. This is treated as out-of-scope, since the IPA transcriber doesn't have the allophone [ɘ].	MISC
G.1.27	-sr- > -ss		CLL: r > sː / @ s _ @
G.1.28	io, īo > eo, ēo		basic: iu > eo; basic: iːu > eːo
